Klient;2023-11;2023-12;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;Suma_Miesiecy;Wrocil;Typ_Ceny;Staly_Klient;Pierwsza płatność;Ostatnia płatność;Kohorta;Grupa Kohort;Czas dostępu;Zmiana planu;Status_Sub;LTV_Total
107;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;24;0;Standardowa;Tak;2024-01-07;2025-01-06;01.2024;1. Początek;Rok;Stabilne;Wygasły;1780,0
108;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;Standardowa;Nie;2024-01-07;2024-02-07;01.2024;1. Początek;Miesiąc;Stabilne;Wygasły;178,0
109;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Standardowa;Nie;2024-01-07;2024-01-07;01.2024;1. Początek;Miesiąc;Stabilne;Wygasły;89,0
110;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;Standardowa;Nie;2024-01-09;2024-03-09;01.2024;1. Początek;Miesiąc;Stabilne;Wygasły;297,0
111;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2024-01-10;2024-01-10;01.2024;1. Początek;Rok;Stabilne;Wygasły;990,0
112;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;Standardowa;Nie;2024-01-12;2024-09-12;01.2024;1. Początek;Miesiąc;Stabilne;Wygasły;891,0
113;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Standardowa;Nie;2024-01-13;2024-01-13;01.2024;1. Początek;Miesiąc;Stabilne;Wygasły;99,0
114;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;1;Promocyjna;Nie;2024-01-21;2025-05-05;01.2024;1. Początek;Miesiąc;Stabilne;Wygasły;393,4
115;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2024-01-21;2024-01-21;01.2024;1. Początek;Rok;Stabilne;Wygasły;396,0
116;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;15;1;Standardowa;Tak;2024-01-25;2026-01-19;01.2024;1. Początek;Rok;Stabilne;Aktywny;1980,0
117;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;Promocyjna;Nie;2024-01-26;2024-09-26;01.2024;1. Początek;Miesiąc;Stabilne;Wygasły;356,4
118;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;27;0;Promocyjna;Tak;2024-01-26;2026-03-26;01.2024;1. Początek;Miesiąc;Stabilne;Aktywny;2138,4
119;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;Promocyjna;Nie;2024-02-03;2024-07-03;02.2024;1. Początek;Miesiąc;Stabilne;Wygasły;475,20000000000005
120;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2024-02-04;2024-02-04;02.2024;1. Początek;Rok;Stabilne;Wygasły;792,0
121;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;25;1;Standardowa;Tak;2024-02-07;2026-03-30;02.2024;1. Początek;Miesiąc;Stabilne;Aktywny;2574,0
122;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2024-02-09;2024-02-09;02.2024;1. Początek;Rok;Stabilne;Wygasły;495,0
123;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;15;0;Standardowa;Tak;2024-02-12;2025-04-12;02.2024;1. Początek;Miesiąc;Stabilne;Wygasły;1485,0
124;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Standardowa;Nie;2024-02-13;2024-02-13;02.2024;1. Początek;Miesiąc;Stabilne;Wygasły;99,0
125;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;Standardowa;Nie;2024-02-14;2024-03-14;02.2024;1. Początek;Miesiąc;Stabilne;Wygasły;198,0
126;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;Standardowa;Nie;2024-02-16;2024-03-16;02.2024;1. Początek;Miesiąc;Stabilne;Wygasły;198,0
127;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;Standardowa;Nie;2024-02-19;2024-06-19;02.2024;1. Początek;Miesiąc;Stabilne;Wygasły;495,0
128;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;Promocyjna;Nie;2024-02-23;2024-07-23;02.2024;1. Początek;Miesiąc;Stabilne;Wygasły;534,5999999999999
129;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2024-02-23;2024-02-23;02.2024;1. Początek;Rok;Stabilne;Wygasły;396,0
130;0;0;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;20;1;Standardowa;Tak;2024-02-24;2025-10-24;02.2024;1. Początek;Miesiąc;Stabilne;Wygasły;2079,0
131;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;Standardowa;Nie;2024-02-26;2025-03-17;02.2024;1. Początek;Miesiąc;Stabilne;Wygasły;268,0
132;0;0;0;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;23;1;Promocyjna;Tak;2024-03-01;2026-03-04;03.2024;1. Początek;Miesiąc;Stabilne;Aktywny;1716,3
133;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Standardowa;Nie;2024-03-05;2024-03-05;03.2024;1. Początek;Miesiąc;Stabilne;Wygasły;99,0
134;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2024-03-05;2024-03-05;03.2024;1. Początek;Rok;Stabilne;Wygasły;990,0
135;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2024-03-07;2024-03-07;03.2024;1. Początek;Rok;Stabilne;Wygasły;792,0
136;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2024-03-09;2024-03-09;03.2024;1. Początek;Rok;Stabilne;Wygasły;990,0
137;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;24;0;Standardowa;Tak;2024-03-10;2025-03-17;03.2024;1. Początek;Rok;Stabilne;Wygasły;2189,0
138;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;Standardowa;Nie;2024-03-20;2024-11-20;03.2024;1. Początek;Miesiąc;Stabilne;Wygasły;891,0
139;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;13;0;Standardowa;Tak;2024-03-21;2025-03-21;03.2024;1. Początek;Miesiąc;Stabilne;Wygasły;1287,0
140;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;25;0;Standardowa;Tak;2024-03-24;2025-12-10;03.2024;1. Początek;Rok;Stabilne;Aktywny;1782,0
141;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Promocyjna;Nie;2024-03-27;2024-03-27;03.2024;1. Początek;Miesiąc;Stabilne;Wygasły;79,2
142;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2024-04-01;2024-04-01;04.2024;1. Początek;Rok;Stabilne;Wygasły;495,0
143;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;Standardowa;Nie;2024-04-03;2024-05-03;04.2024;1. Początek;Miesiąc;Stabilne;Wygasły;198,0
144;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;24;0;Standardowa;Tak;2024-04-03;2025-11-08;04.2024;1. Początek;Rok;Stabilne;Aktywny;1980,0
145;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2024-04-05;2024-04-05;04.2024;1. Początek;Rok;Stabilne;Wygasły;990,0
146;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;Standardowa;Nie;2024-04-10;2024-06-10;04.2024;1. Początek;Miesiąc;Stabilne;Wygasły;297,0
147;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;23;1;Standardowa;Tak;2024-04-10;2025-05-09;04.2024;1. Początek;Rok;Stabilne;Aktywny;1980,0
148;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;22;1;Standardowa;Tak;2024-04-11;2025-06-05;04.2024;1. Początek;Rok;Stabilne;Aktywny;1881,0
149;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Standardowa;Nie;2024-04-11;2024-04-11;04.2024;1. Początek;Miesiąc;Stabilne;Wygasły;99,0
150;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;13;1;Promocyjna;Tak;2024-04-13;2025-09-07;04.2024;1. Początek;Rok;Downgrade;Wygasły;1030,6
151;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2024-04-14;2024-04-14;04.2024;1. Początek;Rok;Stabilne;Wygasły;495,0
152;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;Standardowa;Nie;2024-04-15;2024-09-15;04.2024;1. Początek;Miesiąc;Stabilne;Wygasły;594,0
153;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2024-04-16;2024-04-16;04.2024;1. Początek;Rok;Stabilne;Wygasły;990,0
154;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2024-04-17;2024-04-17;04.2024;1. Początek;Rok;Stabilne;Wygasły;990,0
155;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2024-04-18;2024-04-18;04.2024;1. Początek;Rok;Stabilne;Wygasły;792,0
156;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;Standardowa;Nie;2024-04-23;2024-08-23;04.2024;1. Początek;Miesiąc;Stabilne;Wygasły;495,0
157;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;Standardowa;Nie;2024-04-26;2024-10-26;04.2024;1. Początek;Miesiąc;Stabilne;Wygasły;693,0
158;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;21;0;Standardowa;Tak;2024-05-01;2026-01-01;05.2024;1. Początek;Miesiąc;Stabilne;Wygasły;2079,0
159;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2024-05-06;2025-04-06;05.2024;1. Początek;Miesiąc;Stabilne;Wygasły;1188,0
160;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;Standardowa;Nie;2024-05-07;2024-06-07;05.2024;1. Początek;Miesiąc;Stabilne;Wygasły;198,0
161;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;Promocyjna;Nie;2024-05-10;2024-07-10;05.2024;1. Początek;Miesiąc;Stabilne;Wygasły;276,21
162;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;23;0;Promocyjna;Tak;2024-05-12;2026-03-12;05.2024;1. Początek;Rok;Downgrade;Aktywny;2741,2
163;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;23;0;Standardowa;Tak;2024-05-17;2025-05-17;05.2024;1. Początek;Rok;Stabilne;Aktywny;1980,0
164;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;13;0;Promocyjna;Tak;2024-05-20;2024-06-12;05.2024;1. Początek;Miesiąc;Upgrade;Wygasły;1064,1799999999998
165;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;Standardowa;Nie;2024-05-20;2024-11-20;05.2024;1. Początek;Miesiąc;Stabilne;Wygasły;693,0
166;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2024-05-21;2024-05-21;05.2024;1. Początek;Rok;Stabilne;Wygasły;791,0
167;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2024-05-22;2024-05-22;05.2024;1. Początek;Rok;Stabilne;Wygasły;990,0
168;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;1;1;17;1;Promocyjna;Tak;2024-05-22;2026-03-22;05.2024;1. Początek;Miesiąc;Stabilne;Aktywny;1346,4
169;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2024-05-22;2024-05-22;05.2024;1. Początek;Rok;Stabilne;Wygasły;396,0
170;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;Standardowa;Nie;2024-05-23;2024-08-30;05.2024;1. Początek;Miesiąc;Stabilne;Wygasły;396,0
171;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;12;0;Promocyjna;Nie;2024-05-23;2024-05-23;05.2024;1. Początek;Rok;Stabilne;Wygasły;881,1
172;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Promocyjna;Nie;2024-05-23;2024-05-23;05.2024;1. Początek;Miesiąc;Stabilne;Wygasły;88,11
173;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;12;0;Promocyjna;Nie;2024-05-23;2024-05-23;05.2024;1. Początek;Rok;Stabilne;Wygasły;881,1
174;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;Standardowa;Nie;2024-05-23;2024-10-23;05.2024;1. Początek;Miesiąc;Stabilne;Wygasły;594,0
175;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;Promocyjna;Nie;2024-05-23;2024-07-24;05.2024;1. Początek;Miesiąc;Stabilne;Wygasły;264,33
176;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;23;0;Promocyjna;Tak;2024-05-24;2025-05-22;05.2024;1. Początek;Rok;Stabilne;Aktywny;1673,1
177;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;Promocyjna;Nie;2024-05-24;2024-06-24;05.2024;1. Początek;Miesiąc;Stabilne;Wygasły;176,22
178;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;15;0;Promocyjna;Tak;2024-05-24;2025-07-28;05.2024;1. Początek;Miesiąc;Stabilne;Wygasły;1321,65
179;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;12;0;Promocyjna;Nie;2024-05-24;2024-05-24;05.2024;1. Początek;Rok;Stabilne;Wygasły;881,1
180;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;23;0;Promocyjna;Tak;2024-05-24;2026-03-24;05.2024;1. Początek;Miesiąc;Stabilne;Aktywny;2026,53
181;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;20;1;Promocyjna;Tak;2024-05-24;2026-03-24;05.2024;1. Początek;Miesiąc;Stabilne;Aktywny;1762,2
182;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;Standardowa;Nie;2024-05-26;2024-08-26;05.2024;1. Początek;Miesiąc;Stabilne;Wygasły;396,0
183;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;23;0;Standardowa;Tak;2024-05-26;2025-05-14;05.2024;1. Początek;Rok;Stabilne;Aktywny;1980,0
184;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;Standardowa;Nie;2024-05-28;2024-07-29;05.2024;1. Początek;Miesiąc;Stabilne;Wygasły;198,0
185;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Standardowa;Nie;2024-05-28;2024-05-28;05.2024;1. Początek;Miesiąc;Stabilne;Wygasły;99,0
186;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;22;0;Promocyjna;Tak;2024-05-29;2026-02-28;05.2024;1. Początek;Miesiąc;Stabilne;Wygasły;2003,76
187;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;Standardowa;Nie;2024-05-29;2024-11-29;05.2024;1. Początek;Miesiąc;Stabilne;Wygasły;693,0
188;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;Promocyjna;Nie;2024-05-29;2024-07-29;05.2024;1. Początek;Miesiąc;Stabilne;Wygasły;237,60000000000002
189;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;23;0;Standardowa;Tak;2024-05-30;2026-03-30;05.2024;1. Początek;Miesiąc;Stabilne;Aktywny;2277,0
190;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2024-05-30;2024-05-30;05.2024;1. Początek;Rok;Stabilne;Wygasły;990,0
191;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;12;0;Promocyjna;Nie;2024-05-30;2025-04-30;05.2024;1. Początek;Miesiąc;Stabilne;Wygasły;1092,96
192;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;7;1;Standardowa;Nie;2024-05-30;2025-06-03;05.2024;1. Początek;Miesiąc;Stabilne;Wygasły;993,0
193;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;22;1;Promocyjna;Tak;2024-05-30;2025-07-10;05.2024;1. Początek;Miesiąc;Upgrade;Aktywny;2088,98
194;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2024-05-30;2024-05-30;05.2024;1. Początek;Rok;Stabilne;Wygasły;891,0
195;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2024-05-30;2024-05-30;05.2024;1. Początek;Rok;Stabilne;Wygasły;990,0
196;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;22;1;Standardowa;Tak;2024-05-30;2026-03-30;05.2024;1. Początek;Miesiąc;Stabilne;Aktywny;2277,0
197;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2024-05-31;2024-05-31;05.2024;1. Początek;Rok;Stabilne;Wygasły;396,0
198;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;22;1;Promocyjna;Tak;2024-05-31;2026-03-31;05.2024;1. Początek;Miesiąc;Stabilne;Aktywny;2094,84
199;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;22;1;Standardowa;Tak;2024-05-31;2026-03-31;05.2024;1. Początek;Miesiąc;Stabilne;Aktywny;2178,0
200;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;8;1;Standardowa;Nie;2024-05-31;2025-07-11;05.2024;1. Początek;Miesiąc;Stabilne;Wygasły;1142,0
201;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2024-05-31;2024-05-31;05.2024;1. Początek;Rok;Stabilne;Wygasły;990,0
202;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;22;1;Promocyjna;Tak;2024-05-31;2026-03-31;05.2024;1. Początek;Miesiąc;Stabilne;Aktywny;1821,6000000000001
203;0;0;0;0;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;Standardowa;Nie;2024-05-31;2024-12-31;05.2024;1. Początek;Miesiąc;Stabilne;Wygasły;495,0
204;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;23;0;Standardowa;Tak;2024-05-31;2026-03-31;05.2024;1. Początek;Miesiąc;Stabilne;Aktywny;2277,0
205;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;Standardowa;Nie;2024-05-31;2024-07-31;05.2024;1. Początek;Miesiąc;Stabilne;Wygasły;297,0
206;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;Standardowa;Nie;2024-05-31;2024-09-30;05.2024;1. Początek;Miesiąc;Stabilne;Wygasły;495,0
207;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2024-05-31;2024-05-31;05.2024;1. Początek;Rok;Stabilne;Wygasły;990,0
208;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;23;0;Promocyjna;Tak;2024-05-31;2025-11-30;05.2024;1. Początek;Rok;Stabilne;Aktywny;1930,5
209;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;Promocyjna;Nie;2024-05-31;2024-07-31;05.2024;1. Początek;Miesiąc;Stabilne;Wygasły;237,60000000000002
210;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;12;0;Promocyjna;Nie;2024-05-31;2024-05-31;05.2024;1. Początek;Rok;Stabilne;Wygasły;881,1
211;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;Promocyjna;Nie;2024-05-31;2024-06-30;05.2024;1. Początek;Miesiąc;Stabilne;Wygasły;158,4
212;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;Standardowa;Nie;2024-05-31;2024-11-30;05.2024;1. Początek;Miesiąc;Stabilne;Wygasły;693,0
213;0;0;0;0;0;0;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;0;1;1;0;0;18;1;Standardowa;Tak;2024-05-31;2026-01-31;05.2024;1. Początek;Miesiąc;Stabilne;Wygasły;2079,0
214;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;16;0;Standardowa;Tak;2024-05-31;2025-08-31;05.2024;1. Początek;Miesiąc;Stabilne;Wygasły;1584,0
215;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;23;0;Promocyjna;Tak;2024-05-31;2025-05-27;05.2024;1. Początek;Rok;Stabilne;Aktywny;1801,8
216;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Standardowa;Nie;2024-05-31;2024-05-31;05.2024;1. Początek;Miesiąc;Stabilne;Wygasły;99,0
217;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;20;1;Standardowa;Tak;2024-05-31;2026-02-28;05.2024;1. Początek;Miesiąc;Stabilne;Wygasły;2178,0
218;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2024-05-31;2024-05-31;05.2024;1. Początek;Rok;Stabilne;Wygasły;495,0
