Klient;2023-11;2023-12;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;Suma_Miesiecy;Wrocil;Typ_Ceny;Staly_Klient;Pierwsza płatność;Ostatnia płatność;Kohorta;Grupa Kohort;Czas dostępu;Zmiana planu;Status_Sub;LTV_Total
24;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;Promocyjna;Nie;2023-11-06;2024-04-06;11.2023;1. Początek;Miesiąc;Stabilne;Wygasły;453,90000000000003
25;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2023-11-06;2023-11-06;11.2023;1. Początek;Rok;Stabilne;Wygasły;890,0
26;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2023-11-06;2023-11-06;11.2023;1. Początek;Rok;Stabilne;Wygasły;890,0
27;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;Standardowa;Nie;2023-11-06;2023-12-06;11.2023;1. Początek;Miesiąc;Stabilne;Wygasły;178,0
28;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;Promocyjna;Nie;2023-11-06;2024-05-06;11.2023;1. Początek;Miesiąc;Stabilne;Wygasły;453,90000000000003
29;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;17;1;Promocyjna;Tak;2023-11-06;2026-03-06;11.2023;1. Początek;Miesiąc;Stabilne;Aktywny;1361,6999999999998
30;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;29;0;Promocyjna;Tak;2023-11-06;2025-11-06;11.2023;1. Początek;Rok;Stabilne;Aktywny;2269,5
31;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;29;0;Standardowa;Tak;2023-11-06;2026-03-06;11.2023;1. Początek;Miesiąc;Stabilne;Aktywny;2581,0
32;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;21;1;Standardowa;Tak;2023-11-06;2025-12-06;11.2023;1. Początek;Miesiąc;Stabilne;Wygasły;2829,0
33;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;29;0;Standardowa;Tak;2023-11-06;2025-05-06;11.2023;1. Początek;Rok;Stabilne;Aktywny;1068,0
34;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;13;1;Promocyjna;Tak;2023-11-06;2025-02-06;11.2023;1. Początek;Miesiąc;Stabilne;Wygasły;925,6
35;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;29;0;Standardowa;Tak;2023-11-06;2025-11-06;11.2023;1. Początek;Rok;Stabilne;Aktywny;2403,0
36;1;1;1;1;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;1;Standardowa;Nie;2023-11-06;2024-12-01;11.2023;1. Początek;Miesiąc;Stabilne;Wygasły;1131,0
37;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;29;0;Standardowa;Tak;2023-11-06;2026-03-06;11.2023;1. Początek;Miesiąc;Stabilne;Aktywny;2581,0
38;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;Standardowa;Nie;2023-11-06;2024-05-06;11.2023;1. Początek;Miesiąc;Stabilne;Wygasły;623,0
39;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;0;1;1;0;1;1;1;1;0;1;1;1;1;1;24;1;Promocyjna;Tak;2023-11-06;2026-03-08;11.2023;1. Początek;Miesiąc;Stabilne;Aktywny;2088,6
40;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;Promocyjna;Nie;2023-11-06;2023-11-06;11.2023;1. Początek;Rok;Stabilne;Wygasły;756,5
41;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;Standardowa;Nie;2023-11-06;2023-12-06;11.2023;1. Początek;Miesiąc;Stabilne;Wygasły;198,0
42;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2023-11-06;2023-11-06;11.2023;1. Początek;Rok;Stabilne;Wygasły;990,0
43;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2023-11-06;2023-11-06;11.2023;1. Początek;Rok;Stabilne;Wygasły;445,0
44;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;29;0;Standardowa;Tak;2023-11-07;2025-11-07;11.2023;1. Początek;Rok;Stabilne;Aktywny;2970,0
45;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;Standardowa;Nie;2023-11-07;2024-03-17;11.2023;1. Początek;Miesiąc;Stabilne;Wygasły;287,0
46;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Promocyjna;Nie;2023-11-07;2023-11-07;11.2023;1. Początek;Miesiąc;Stabilne;Wygasły;84,15
47;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;20;0;Standardowa;Tak;2023-11-07;2025-06-07;11.2023;1. Początek;Miesiąc;Stabilne;Wygasły;1980,0
48;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;Promocyjna;Nie;2023-11-08;2023-11-27;11.2023;1. Początek;Miesiąc;Upgrade;Wygasły;407,6
49;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;Standardowa;Nie;2023-11-08;2024-05-08;11.2023;1. Początek;Miesiąc;Stabilne;Wygasły;693,0
50;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Standardowa;Nie;2023-11-09;2023-11-09;11.2023;1. Początek;Miesiąc;Stabilne;Wygasły;99,0
51;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2023-11-12;2023-11-12;11.2023;1. Początek;Rok;Stabilne;Wygasły;990,0
52;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Promocyjna;Nie;2023-11-13;2023-11-13;11.2023;1. Początek;Miesiąc;Stabilne;Wygasły;87,12
53;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;Promocyjna;Nie;2023-11-13;2024-01-13;11.2023;1. Początek;Miesiąc;Stabilne;Wygasły;261,36
54;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;29;0;Promocyjna;Tak;2023-11-14;2025-11-14;11.2023;1. Początek;Rok;Stabilne;Aktywny;2613,6000000000004
55;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;Promocyjna;Nie;2023-11-18;2024-01-18;11.2023;1. Początek;Miesiąc;Stabilne;Wygasły;237,60000000000002
56;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;11;1;Promocyjna;Nie;2023-11-24;2025-07-18;11.2023;1. Początek;Miesiąc;Stabilne;Wygasły;1480,6
57;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2023-11-24;2023-11-24;11.2023;1. Początek;Rok;Stabilne;Wygasły;690,0
58;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2023-11-24;2023-11-24;11.2023;1. Początek;Rok;Stabilne;Wygasły;690,0
59;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;18;0;Standardowa;Tak;2023-11-24;2024-05-24;11.2023;1. Początek;Rok;Stabilne;Wygasły;552,0
60;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;28;1;Standardowa;Tak;2023-11-25;2026-03-07;11.2023;1. Początek;Miesiąc;Stabilne;Aktywny;1932,0
61;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;29;0;Promocyjna;Tak;2023-11-25;2025-11-25;11.2023;1. Początek;Rok;Stabilne;Aktywny;1821,6000000000001
62;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;29;0;Promocyjna;Tak;2023-11-25;2026-03-25;11.2023;1. Początek;Miesiąc;Stabilne;Aktywny;1600,8000000000002
63;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2023-11-25;2023-11-25;11.2023;1. Początek;Rok;Stabilne;Wygasły;690,0
64;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0;0;0;0;20;1;Standardowa;Tak;2023-11-25;2025-11-25;11.2023;1. Początek;Miesiąc;Stabilne;Wygasły;1380,0
65;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;29;0;Standardowa;Tak;2023-11-26;2025-11-26;11.2023;1. Początek;Rok;Stabilne;Aktywny;2070,0
66;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;Standardowa;Nie;2023-11-26;2024-06-26;11.2023;1. Początek;Miesiąc;Stabilne;Wygasły;483,0
67;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;14;1;Standardowa;Tak;2023-11-26;2024-05-21;11.2023;1. Początek;Miesiąc;Upgrade;Wygasły;534,0
68;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;24;1;Standardowa;Tak;2023-11-26;2026-03-15;11.2023;1. Początek;Rok;Downgrade;Aktywny;1855,0
69;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;29;0;Standardowa;Tak;2023-11-26;2026-03-26;11.2023;1. Początek;Miesiąc;Stabilne;Aktywny;2001,0
70;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;1;Standardowa;Tak;2023-11-26;2025-01-26;11.2023;1. Początek;Miesiąc;Stabilne;Wygasły;1035,0
71;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;24;1;Standardowa;Tak;2023-11-26;2025-01-27;11.2023;1. Początek;Rok;Stabilne;Wygasły;621,0
72;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2023-11-27;2023-11-27;11.2023;1. Początek;Rok;Stabilne;Wygasły;690,0
73;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;28;1;Promocyjna;Tak;2023-11-27;2026-03-27;11.2023;1. Początek;Miesiąc;Stabilne;Aktywny;1600,8000000000002
