Data transakcji;Klient;Kwota;Nr Transakcji;Wiek_Msc;LTV Narastajaco
2025-05-05 23:54:00.570;11;75,65;19;18;1437,35
2025-06-05 23:54:07.292;11;75,65;20;19;1513,0
2025-07-05 23:56:26.462;11;75,65;21;20;1588,65
2025-08-05 23:55:52.766;11;75,65;22;21;1664,3
2025-09-05 23:54:57.147;11;75,65;23;22;1739,95
2025-10-05 23:54:39.233;11;75,65;24;23;1815,6
2025-11-05 22:54:45.047;11;75,65;25;24;1891,25
2023-11-05 22:32:52.096;12;89,0;1;0;89,0
2023-12-05 23:36:24.003;12;89,0;2;1;178,0
2024-01-05 23:33:52.269;12;89,0;3;2;267,0
2024-02-05 23:34:13.895;12;89,0;4;3;356,0
2024-03-05 23:34:17.801;12;89,0;5;4;445,0
2024-04-06 00:34:27.821;12;89,0;6;5;534,0
2024-05-06 00:34:30.109;12;89,0;7;6;623,0
2024-06-06 00:34:00.898;12;89,0;8;7;712,0
2023-11-06 09:30:19.759;13;89,0;1;0;89,0
2023-12-06 10:32:08.233;13;89,0;2;1;178,0
2024-01-06 10:32:18.392;13;89,0;3;2;267,0
2024-02-06 10:31:35.996;13;89,0;4;3;356,0
2024-03-06 10:31:24.073;13;89,0;5;4;445,0
2023-11-06 11:13:49.726;14;75,65;1;0;75,65
2023-11-06 11:20:39.475;15;890,0;1;0;890,0
2023-11-06 11:22:11.121;16;756,5;1;0;756,5
2023-11-06 11:37:27.359;17;75,65;1;0;75,65
2023-12-06 12:39:21.760;17;75,65;2;1;151,3
2024-01-06 12:37:56.659;17;75,65;3;2;226,95
2024-02-06 12:40:13.548;17;75,65;4;3;302,6
2024-03-06 12:38:31.501;17;75,65;5;4;378,25
2024-04-06 13:38:10.036;17;75,65;6;5;453,9
2024-05-06 13:38:57.209;17;75,65;7;6;529,55
2024-06-06 13:37:59.566;17;75,65;8;7;605,2
2024-07-06 13:39:20.311;17;75,65;9;8;680,85
2024-08-06 13:43:21.863;17;75,65;10;9;756,5
2024-09-06 13:39:21.382;17;75,65;11;10;832,15
2024-10-06 13:39:03.073;17;75,65;12;11;907,8
2024-11-06 12:38:44.052;17;75,65;13;12;983,45
2024-12-06 12:38:36.489;17;75,65;14;13;1059,1
2025-01-06 12:38:18.261;17;75,65;15;14;1134,75
2025-02-06 12:38:50.837;17;75,65;16;15;1210,4
2025-03-06 12:38:54.729;17;75,65;17;16;1286,05
2025-04-06 13:38:34.172;17;75,65;18;17;1361,7
2025-05-06 13:38:48.903;17;75,65;19;18;1437,35
2025-06-06 13:39:28.525;17;75,65;20;19;1513,0
2025-07-06 13:38:42.576;17;75,65;21;20;1588,65
2025-08-06 13:39:09.366;17;75,65;22;21;1664,3
2025-09-06 13:41:10.324;17;75,65;23;22;1739,95
2025-10-06 13:38:51.329;17;75,65;24;23;1815,6
2025-11-06 12:40:45.464;17;75,65;25;24;1891,25
2025-12-06 12:39:16.588;17;75,65;26;25;1966,9
2026-01-06 12:39:34.384;17;75,65;27;26;2042,55
2026-02-06 12:40:22.643;17;75,65;28;27;2118,2
2026-03-06 12:38:35.265;17;75,65;29;28;2193,85
2023-11-06 12:12:12.316;18;890,0;1;0;890,0
2024-11-06 13:14:00.438;18;890,0;2;12;1780,0
2025-11-06 13:15:37.610;18;890,0;3;24;2670,0
2023-11-06 13:55:52.106;19;80,1;1;0;80,1
2023-11-06 14:10:26.780;20;712,0;1;0;712,0
2023-11-06 14:40:32.367;21;89,0;1;0;89,0
2023-11-06 15:03:16.117;22;89,0;1;0;89,0
2023-11-06 15:40:33.108;23;378,25;1;0;378,25
2024-09-02 09:26:07.084;23;169,0;2;10;547,25
2024-10-02 10:27:07.905;23;169,0;3;11;716,25
2024-11-02 09:26:44.351;23;169,0;4;12;885,25
2024-12-02 09:27:12.629;23;169,0;5;13;1054,25
2025-01-02 09:27:14.341;23;169,0;6;14;1223,25
2025-02-02 09:28:14.242;23;169,0;7;15;1392,25
2025-03-02 09:26:49.995;23;169,0;8;16;1561,25
2025-04-02 10:27:01.734;23;169,0;9;17;1730,25
2025-05-02 10:27:26.187;23;169,0;10;18;1899,25
2023-11-06 16:56:32.695;24;75,65;1;0;75,65
2023-12-06 17:57:46.958;24;75,65;2;1;151,3
2024-01-06 17:57:53.838;24;75,65;3;2;226,95
2024-02-06 17:57:49.296;24;75,65;4;3;302,6
2024-03-06 17:57:44.576;24;75,65;5;4;378,25
2024-04-06 18:57:53.601;24;75,65;6;5;453,9
2023-11-06 17:15:32.841;25;890,0;1;0;890,0
2023-11-06 17:15:56.869;26;890,0;1;0;890,0
2023-11-06 17:34:52.613;27;89,0;1;0;89,0
2023-12-06 18:37:38.599;27;89,0;2;1;178,0
2023-11-06 17:52:22.393;28;75,65;1;0;75,65
2023-12-06 18:58:24.055;28;75,65;2;1;151,3
2024-02-06 18:54:16.813;28;75,65;3;3;226,95
2024-03-06 18:53:25.870;28;75,65;4;4;302,6
2024-04-06 19:53:39.204;28;75,65;5;5;378,25
2024-05-06 19:53:25.798;28;75,65;6;6;453,9
2023-11-06 18:17:18.959;29;80,1;1;0;80,1
2023-12-06 19:18:36.609;29;80,1;2;1;160,2
2024-01-06 19:18:27.653;29;80,1;3;2;240,3
2024-02-06 19:19:05.681;29;80,1;4;3;320,4
2024-03-06 19:18:08.420;29;80,1;5;4;400,5
2024-04-06 20:18:50.399;29;80,1;6;5;480,6
2024-05-06 20:19:03.501;29;80,1;7;6;560,7
2025-06-06 20:18:33.092;29;80,1;8;19;640,8
2025-07-06 20:18:52.110;29;80,1;9;20;720,9
2025-08-06 20:18:31.345;29;80,1;10;21;801,0
2025-09-06 20:20:26.138;29;80,1;11;22;881,1
2025-10-06 20:21:12.324;29;80,1;12;23;961,2
2025-11-06 19:19:56.528;29;80,1;13;24;1041,3
2025-12-06 19:18:28.676;29;80,1;14;25;1121,4
2026-01-06 19:20:51.582;29;80,1;15;26;1201,5
2026-02-06 19:22:19.258;29;80,1;16;27;1281,6
2026-03-06 19:18:17.181;29;80,1;17;28;1361,7
2023-11-06 18:18:25.484;30;756,5;1;0;756,5
2024-11-06 19:18:53.495;30;756,5;2;12;1513,0
2025-11-06 19:21:51.454;30;756,5;3;24;2269,5
2023-11-06 19:34:08.767;31;89,0;1;0;89,0
2023-12-06 20:41:44.408;31;89,0;2;1;178,0
2024-01-06 20:35:52.145;31;89,0;3;2;267,0
2024-02-06 20:35:37.824;31;89,0;4;3;356,0
2024-03-06 20:35:22.460;31;89,0;5;4;445,0
2024-04-06 21:35:52.735;31;89,0;6;5;534,0
2024-05-06 21:36:42.175;31;89,0;7;6;623,0
2024-06-06 21:35:04.745;31;89,0;8;7;712,0
2024-07-06 21:35:05.029;31;89,0;9;8;801,0
2024-08-06 21:35:50.226;31;89,0;10;9;890,0
2024-09-06 21:35:03.118;31;89,0;11;10;979,0
2024-10-06 21:35:12.719;31;89,0;12;11;1068,0
2024-11-06 20:35:22.640;31;89,0;13;12;1157,0
2024-12-06 20:35:21.189;31;89,0;14;13;1246,0
2025-01-06 20:35:09.546;31;89,0;15;14;1335,0
2025-02-06 20:35:46.760;31;89,0;16;15;1424,0
2025-03-06 20:34:53.585;31;89,0;17;16;1513,0
2025-04-06 21:36:03.319;31;89,0;18;17;1602,0
2025-05-06 21:35:49.764;31;89,0;19;18;1691,0
2025-06-06 21:35:54.100;31;89,0;20;19;1780,0
2025-07-06 21:35:34.826;31;89,0;21;20;1869,0
2025-08-06 21:35:21.914;31;89,0;22;21;1958,0
2025-09-06 21:35:22.148;31;89,0;23;22;2047,0
2025-10-06 21:35:58.591;31;89,0;24;23;2136,0
2025-11-06 20:35:32.612;31;89,0;25;24;2225,0
2025-12-06 20:38:06.363;31;89,0;26;25;2314,0
2026-01-06 20:35:15.146;31;89,0;27;26;2403,0
2026-02-06 20:38:57.842;31;89,0;28;27;2492,0
2026-03-06 20:35:28.238;31;89,0;29;28;2581,0
2023-11-06 19:47:11.881;32;89,0;1;0;89,0
2023-12-06 20:55:20.699;32;89,0;2;1;178,0
2024-01-06 20:48:42.986;32;89,0;3;2;267,0
2024-02-06 20:47:31.747;32;89,0;4;3;356,0
2024-03-06 20:48:13.957;32;89,0;5;4;445,0
2024-04-06 21:48:25.033;32;89,0;6;5;534,0
2024-05-06 21:48:52.239;32;89,0;7;6;623,0
2024-06-06 21:49:11.056;32;89,0;8;7;712,0
2024-07-13 22:48:12.416;32;89,0;9;8;801,0
2025-01-06 21:06:06.418;32;169,0;10;14;970,0
2025-02-06 22:07:40.452;32;169,0;11;15;1139,0
2025-03-06 22:07:07.568;32;169,0;12;16;1308,0
2025-04-06 23:07:50.529;32;169,0;13;17;1477,0
2025-05-06 23:07:17.804;32;169,0;14;18;1646,0
2025-06-06 23:06:55.445;32;169,0;15;19;1815,0
2025-07-06 23:07:13.368;32;169,0;16;20;1984,0
2025-08-06 23:07:35.603;32;169,0;17;21;2153,0
2025-09-06 23:09:03.830;32;169,0;18;22;2322,0
2025-10-06 23:11:03.428;32;169,0;19;23;2491,0
2025-11-23 18:06:56.949;32;169,0;20;24;2660,0
2025-12-06 22:07:03.141;32;169,0;21;25;2829,0
2023-11-06 19:56:53.526;33;356,0;1;0;356,0
2024-11-06 20:58:15.594;33;356,0;2;12;712,0
2025-05-06 21:58:17.457;33;356,0;3;18;1068,0
2023-11-06 20:06:53.854;34;71,2;1;0;71,2
2023-12-06 21:12:05.138;34;71,2;2;1;142,4
2024-01-06 21:08:00.317;34;71,2;3;2;213,6
2024-02-06 21:08:23.246;34;71,2;4;3;284,8
2024-06-06 22:08:31.376;34;71,2;5;7;356,0
2024-07-06 22:08:23.119;34;71,2;6;8;427,2
2024-08-06 22:17:42.541;34;71,2;7;9;498,4
2024-09-06 22:08:55.072;34;71,2;8;10;569,6
2024-10-06 22:07:44.395;34;71,2;9;11;640,8
2024-11-06 21:07:53.013;34;71,2;10;12;712,0
2024-12-06 21:07:59.197;34;71,2;11;13;783,2
2025-01-06 21:07:55.338;34;71,2;12;14;854,4
2025-02-06 21:07:56.401;34;71,2;13;15;925,6
2023-11-06 20:12:54.639;35;801,0;1;0;801,0
2024-11-06 21:14:34.342;35;801,0;2;12;1602,0
2025-11-06 21:17:11.876;35;801,0;3;24;2403,0
2023-11-06 20:15:16.298;36;89,0;1;0;89,0
2023-12-06 21:21:47.743;36;89,0;2;1;178,0
2024-01-06 21:16:15.508;36;89,0;3;2;267,0
2024-02-06 21:16:42.852;36;89,0;4;3;356,0
2024-03-06 21:16:56.922;36;89,0;5;4;445,0
2024-04-06 22:16:38.729;36;89,0;6;5;534,0
2024-10-01 19:51:45.810;36;199,0;7;11;733,0
2024-11-01 19:54:45.057;36;199,0;8;12;932,0
2024-12-01 19:58:43.235;36;199,0;9;13;1131,0
2023-11-06 20:26:45.118;37;89,0;1;0;89,0
2023-12-06 21:31:58.994;37;89,0;2;1;178,0
2024-01-06 21:28:12.144;37;89,0;3;2;267,0
2024-02-06 21:27:35.344;37;89,0;4;3;356,0
2024-03-06 21:28:10.305;37;89,0;5;4;445,0
2024-04-06 22:28:18.051;37;89,0;6;5;534,0
2024-05-06 22:27:12.902;37;89,0;7;6;623,0
2024-06-06 22:28:27.152;37;89,0;8;7;712,0
2024-07-06 22:28:23.559;37;89,0;9;8;801,0
2024-08-06 22:37:07.167;37;89,0;10;9;890,0
2024-09-06 22:28:17.423;37;89,0;11;10;979,0
2024-10-06 22:27:48.892;37;89,0;12;11;1068,0
2024-11-06 21:28:00.859;37;89,0;13;12;1157,0
2024-12-06 21:28:03.665;37;89,0;14;13;1246,0
2025-01-06 21:27:24.587;37;89,0;15;14;1335,0
2025-02-06 21:28:36.145;37;89,0;16;15;1424,0
2025-03-06 21:27:38.831;37;89,0;17;16;1513,0
2025-04-06 22:27:56.410;37;89,0;18;17;1602,0
2025-05-06 22:27:55.243;37;89,0;19;18;1691,0
2025-06-06 22:28:11.562;37;89,0;20;19;1780,0
2025-07-06 22:28:06.254;37;89,0;21;20;1869,0
2025-08-06 22:30:59.816;37;89,0;22;21;1958,0
2025-09-06 22:28:45.111;37;89,0;23;22;2047,0
2025-10-06 22:31:50.589;37;89,0;24;23;2136,0
2025-11-06 21:30:35.166;37;89,0;25;24;2225,0
2025-12-06 21:27:13.376;37;89,0;26;25;2314,0
2026-01-06 21:30:33.203;37;89,0;27;26;2403,0
2026-02-06 21:31:16.698;37;89,0;28;27;2492,0
2026-03-06 21:27:59.439;37;89,0;29;28;2581,0
2023-11-06 20:39:37.727;38;89,0;1;0;89,0
2023-12-06 21:41:35.077;38;89,0;2;1;178,0
2024-01-06 21:41:19.787;38;89,0;3;2;267,0
2024-02-06 21:40:11.311;38;89,0;4;3;356,0
2024-03-06 21:41:45.011;38;89,0;5;4;445,0
2024-04-06 22:40:48.700;38;89,0;6;5;534,0
2024-05-06 22:40:56.877;38;89,0;7;6;623,0
2023-11-06 20:42:35.374;39;89,0;1;0;89,0
2023-12-06 21:43:39.713;39;89,0;2;1;178,0
2024-01-06 21:43:10.384;39;89,0;3;2;267,0
2024-03-01 00:06:56.461;39;79,2;4;4;346,2
2024-03-30 01:08:26.233;39;79,2;5;4;425,4
2024-04-30 02:08:21.813;39;79,2;6;5;504,6
2024-05-30 02:08:29.755;39;79,2;7;6;583,8
2024-06-30 02:08:40.623;39;79,2;8;7;663,0
2024-08-30 02:23:37.069;39;79,2;9;9;742,2
2024-09-30 02:09:09.847;39;79,2;10;10;821,4
2024-10-30 01:08:26.140;39;79,2;11;11;900,6
2024-11-30 01:09:02.735;39;79,2;12;12;979,8
2024-12-30 01:08:34.041;39;79,2;13;13;1059,0
2025-01-30 01:08:23.493;39;79,2;14;14;1138,2
2025-03-01 01:08:38.479;39;79,2;15;16;1217,4
2025-03-30 01:08:10.303;39;79,2;16;16;1296,6
2025-04-30 02:08:51.989;39;79,2;17;17;1375,8
2025-06-30 02:09:31.381;39;79,2;18;19;1455,0
2025-07-30 02:09:20.147;39;79,2;19;20;1534,2
2025-08-30 02:08:18.074;39;79,2;20;21;1613,4
2025-09-30 02:07:58.885;39;79,2;21;22;1692,6
2025-11-08 22:11:18.580;39;79,2;22;24;1771,8
2025-12-07 15:08:12.178;39;79,2;23;25;1851,0
2026-01-06 15:07:56.934;39;79,2;24;26;1930,2
2026-02-06 16:15:00.272;39;79,2;25;27;2009,4
2026-03-08 15:18:02.081;39;79,2;26;28;2088,6
2023-11-06 20:45:33.063;40;756,5;1;0;756,5
2023-11-06 22:06:47.249;41;99,0;1;0;99,0
2023-12-06 23:08:50.301;41;99,0;2;1;198,0
2023-11-06 22:09:25.974;42;990,0;1;0;990,0
2023-11-06 22:53:03.569;43;445,0;1;0;445,0
2023-11-07 00:12:40.133;44;990,0;1;0;990,0
2024-11-07 01:13:45.030;44;990,0;2;12;1980,0
2025-11-07 01:13:32.340;44;990,0;3;24;2970,0
2023-11-07 06:36:15.289;45;89,0;1;0;89,0
2024-02-17 11:03:07.898;45;99,0;2;3;188,0
2024-03-17 12:04:17.817;45;99,0;3;4;287,0
2023-11-07 09:13:22.497;46;84,15;1;0;84,15
2023-11-07 09:29:58.501;47;99,0;1;0;99,0
2023-12-07 10:34:29.836;47;99,0;2;1;198,0
2024-01-07 10:31:15.441;47;99,0;3;2;297,0
2024-02-07 10:31:35.831;47;99,0;4;3;396,0
2024-03-07 10:31:52.413;47;99,0;5;4;495,0
2024-04-07 11:32:13.113;47;99,0;6;5;594,0
2024-05-07 11:32:47.193;47;99,0;7;6;693,0
2024-06-07 11:30:42.424;47;99,0;8;7;792,0
2024-07-07 11:34:45.052;47;99,0;9;8;891,0
2024-08-07 11:34:15.542;47;99,0;10;9;990,0
2024-09-07 11:31:16.159;47;99,0;11;10;1089,0
2024-10-07 11:31:29.445;47;99,0;12;11;1188,0
2024-11-07 10:30:31.712;47;99,0;13;12;1287,0
2024-12-07 10:31:24.521;47;99,0;14;13;1386,0
2025-01-07 10:31:13.012;47;99,0;15;14;1485,0
2025-02-07 10:30:47.714;47;99,0;16;15;1584,0
2025-03-07 10:31:25.084;47;99,0;17;16;1683,0
2025-04-07 11:31:19.417;47;99,0;18;17;1782,0
2025-05-07 11:30:32.287;47;99,0;19;18;1881,0
2025-06-07 11:31:34.574;47;99,0;20;19;1980,0
2023-11-08 17:45:35.910;48;99,0;1;0;99,0
2023-11-27 17:00:43.852;48;308,6;2;0;407,6
2023-11-08 18:15:37.490;49;99,0;1;0;99,0
2023-12-08 19:18:42.145;49;99,0;2;1;198,0
2024-01-08 19:16:36.681;49;99,0;3;2;297,0
2024-02-08 19:16:46.598;49;99,0;4;3;396,0
2024-03-08 19:16:41.829;49;99,0;5;4;495,0
2024-04-08 20:16:30.152;49;99,0;6;5;594,0
2024-05-08 20:17:19.402;49;99,0;7;6;693,0
2023-11-09 22:59:50.342;50;99,0;1;0;99,0
2023-11-12 17:10:03.571;51;990,0;1;0;990,0
2023-11-13 14:59:20.281;52;87,12;1;0;87,12
2023-11-13 20:43:15.465;53;87,12;1;0;87,12
2023-12-13 21:46:40.407;53;87,12;2;1;174,24
2024-01-13 21:44:39.150;53;87,12;3;2;261,36
2023-11-14 07:59:48.670;54;871,2;1;0;871,2
2024-11-14 09:02:41.374;54;871,2;2;12;1742,4
2025-11-14 09:02:23.536;54;871,2;3;24;2613,6
2023-11-18 09:05:47.284;55;79,2;1;0;79,2
2023-12-18 10:07:30.653;55;79,2;2;1;158,4
2024-01-18 10:06:52.567;55;79,2;3;2;237,6
2023-11-24 08:40:07.745;56;69,0;1;0;69,0
2023-12-24 09:42:14.781;56;69,0;2;1;138,0
2024-01-24 09:41:31.685;56;69,0;3;2;207,0
2024-12-18 14:03:42.173;56;159,2;4;13;366,2
2025-01-18 15:04:45.030;56;159,2;5;14;525,4
2025-02-18 15:04:53.253;56;159,2;6;15;684,6
2025-03-18 15:05:23.329;56;159,2;7;16;843,8
2025-04-18 16:04:47.293;56;159,2;8;17;1003,0
2025-05-18 16:05:14.367;56;159,2;9;18;1162,2
2025-06-18 16:04:29.976;56;159,2;10;19;1321,4
2025-07-18 16:04:44.946;56;159,2;11;20;1480,6
2023-11-24 12:41:48.444;57;690,0;1;0;690,0
2023-11-24 18:19:47.585;58;690,0;1;0;690,0
2023-11-24 19:47:39.392;59;276,0;1;0;276,0
2024-05-24 21:48:04.198;59;276,0;2;6;552,0
2023-11-25 06:20:26.450;60;69,0;1;0;69,0
2023-12-25 07:22:07.430;60;69,0;2;1;138,0
2024-01-25 07:21:47.356;60;69,0;3;2;207,0
2024-02-25 07:21:20.716;60;69,0;4;3;276,0
2024-03-25 07:22:17.431;60;69,0;5;4;345,0
2024-04-25 08:22:46.433;60;69,0;6;5;414,0
2024-05-25 08:23:35.366;60;69,0;7;6;483,0
2024-06-25 08:21:04.999;60;69,0;8;7;552,0
2024-07-25 08:26:38.156;60;69,0;9;8;621,0
2024-08-25 08:22:04.414;60;69,0;10;9;690,0
2024-09-25 08:21:35.934;60;69,0;11;10;759,0
2024-10-25 08:21:45.019;60;69,0;12;11;828,0
2024-11-25 07:21:38.310;60;69,0;13;12;897,0
2024-12-28 10:35:23.904;60;69,0;14;13;966,0
2025-01-28 11:41:53.299;60;69,0;15;14;1035,0
2025-02-28 12:07:18.245;60;69,0;16;15;1104,0
2025-03-28 11:51:24.661;60;69,0;17;16;1173,0
2025-04-28 12:42:14.163;60;69,0;18;17;1242,0
2025-05-28 12:48:24.714;60;69,0;19;18;1311,0
2025-06-28 12:38:41.504;60;69,0;20;19;1380,0
2025-07-28 12:36:38.816;60;69,0;21;20;1449,0
2025-08-28 12:37:24.632;60;69,0;22;21;1518,0
2025-09-28 12:36:37.987;60;69,0;23;22;1587,0
2025-10-28 11:35:39.496;60;69,0;24;23;1656,0
2025-11-28 11:36:00.959;60;69,0;25;24;1725,0
2025-12-28 11:37:18.769;60;69,0;26;25;1794,0
2026-01-28 11:39:53.881;60;69,0;27;26;1863,0
2026-03-07 16:45:12.631;60;69,0;28;28;1932,0
2023-11-25 17:33:41.366;61;607,2;1;0;607,2
2024-11-25 18:35:05.876;61;607,2;2;12;1214,4
2025-11-25 18:35:11.789;61;607,2;3;24;1821,6
2023-11-25 17:47:58.080;62;55,2;1;0;55,2
2023-12-25 18:48:59.574;62;55,2;2;1;110,4
2024-01-25 18:53:55.002;62;55,2;3;2;165,6
2024-02-25 18:48:30.681;62;55,2;4;3;220,8
2024-03-25 18:49:13.703;62;55,2;5;4;276,0
2024-04-25 19:49:16.714;62;55,2;6;5;331,2
2024-05-25 19:48:46.866;62;55,2;7;6;386,4
2024-06-25 19:49:18.496;62;55,2;8;7;441,6
2024-07-25 19:49:34.940;62;55,2;9;8;496,8
2024-08-25 19:49:55.146;62;55,2;10;9;552,0
2024-09-25 19:49:28.927;62;55,2;11;10;607,2
2024-10-25 19:49:52.610;62;55,2;12;11;662,4
2024-11-25 18:49:21.379;62;55,2;13;12;717,6
2024-12-25 18:49:20.283;62;55,2;14;13;772,8
2025-01-25 18:49:27.903;62;55,2;15;14;828,0
2025-02-25 18:49:34.081;62;55,2;16;15;883,2
2025-03-25 18:48:29.691;62;55,2;17;16;938,4
2025-04-25 19:48:27.537;62;55,2;18;17;993,6
2025-05-25 19:49:10.482;62;55,2;19;18;1048,8
2025-06-25 19:50:36.196;62;55,2;20;19;1104,0
2025-07-25 19:49:33.086;62;55,2;21;20;1159,2
2025-08-25 19:51:53.340;62;55,2;22;21;1214,4
